osm_id,highway,name,bicycle,foot,surface,segregated,width,ewkt
293408963,cycleway,동천강자전거도로,,,,,,"SRID=4326;LINESTRING(129.3507532 35.5506373, 129.3500946 35.5515343, 129.3495415 35.5524728, 129.3491594 35.5531803, 129.3489375 35.5538227, 129.3488853 35.5541143, 129.3488860 35.5541904, 129.3488752 35.5542843, 129.3488430 35.5544938, 129.3488123 35.5546930, 129.3488106 35.5547689, 129.3488109 35.5548560, 129.3488296 35.5550917, 129.3488779 35.5554298, 129.3489047 35.5555673, 129.3489342 35.5556764, 129.3490426 35.5560143, 129.3490898 35.5562241, 129.3491146 35.5563430, 129.3491633 35.5567125, 129.3491797 35.5568471, 129.3492360 35.5571108, 129.3493052 35.5572841, 129.3493806 35.5574435, 129.3494339 35.5574850)"
293408966,cycleway,동천강자전거도로,,,,,,"SRID=4326;LINESTRING(129.3509991 35.5500739, 129.3510370 35.5501160, 129.3510497 35.5501550, 129.3510461 35.5501917, 129.3510328 35.5502271, 129.3509040 35.5504279, 129.3508091 35.5505331, 129.3507532 35.5506373)"
293408969,cycleway,동천 자전거길,,,,,,"SRID=4326;LINESTRING(129.3530905 35.5636030, 129.3530391 35.5640156, 129.3529629 35.5643379, 129.3529216 35.5645360, 129.3528643 35.5647155, 129.3521927 35.5665478, 129.3517898 35.5676234, 129.3513406 35.5688666, 129.3512772 35.5690481, 129.3512375 35.5692013, 129.3512185 35.5693488, 129.3512183 35.5694850, 129.3512341 35.5696165, 129.3512717 35.5698154)"
294137719,cycleway,태화강자전거길,,,,,,"SRID=4326;LINESTRING(129.2350492 35.5709689, 129.2351146 35.5707144, 129.2352454 35.5701826, 129.2353294 35.5699319, 129.2353855 35.5697420, 129.2354182 35.5696508, 129.2355069 35.5694798, 129.2356330 35.5692329, 129.2357030 35.5690848, 129.2357684 35.5689139, 129.2358198 35.5687999, 129.2359178 35.5686290, 129.2361934 35.5682529, 129.2364129 35.5679832, 129.2364969 35.5678844, 129.2365903 35.5678160, 129.2366791 35.5677856, 129.2367771 35.5677477, 129.2368985 35.5677021, 129.2369826 35.5676641, 129.2370527 35.5676337, 129.2371040 35.5676033, 129.2371787 35.5675577, 129.2380707 35.5667676, 129.2391588 35.5658217, 129.2398687 35.5652063, 129.2404057 35.5647390, 129.2406486 35.5645567, 129.2408354 35.5644199, 129.2410875 35.5642604, 129.2413164 35.5641350, 129.2416573 35.5639755, 129.2418768 35.5638767, 129.2420636 35.5637741, 129.2430629 35.5633410, 129.2435813 35.5631283, 129.2440483 35.5629649, 129.2446741 35.5627750, 129.2451971 35.5626420, 129.2457202 35.5625167, 129.2461031 35.5624445, 129.2463226 35.5624217, 129.2465701 35.5624027, 129.2467542 35.5623839, 129.2469577 35.5623077, 129.2471399 35.5622431, 129.2475695 35.5621558, 129.2482326 35.5620494, 129.2485922 35.5620076, 129.2487183 35.5620000, 129.2488024 35.5620076, 129.2488771 35.5620266, 129.2489471 35.5620646, 129.2491153 35.5622621, 129.2491696 35.5624055, 129.2493752 35.5624501, 129.2501949 35.5625571, 129.2509713 35.5626250, 129.2513960 35.5626710, 129.2518136 35.5626941, 129.2523091 35.5627286, 129.2528683 35.5627689, 129.2533425 35.5628380, 129.2538067 35.5629473, 129.2540509 35.5629979)"
294137720,cycleway,태화강 자전거길 (Taehwagang Bikeway),,,,,,"SRID=4326;LINESTRING(129.2467542 35.5623839, 129.2475761 35.5623308, 129.2480104 35.5623004, 129.2482393 35.5622890, 129.2483527 35.5622823, 129.2483768 35.5623755, 129.2483981 35.5624162, 129.2484797 35.5624159)"
294137721,cycleway,태화강 자전거길 (Taehwagang Bikeway),,,,,,"SRID=4326;LINESTRING(129.2484797 35.5624159, 129.2485521 35.5623918, 129.2486224 35.5623688, 129.2486903 35.5623283, 129.2488020 35.5623425, 129.2489970 35.5623775, 129.2491696 35.5624055)"
367473286,cycleway,상삼로,designated,designated,,,,"SRID=4326;LINESTRING(128.7960083 35.4114722, 128.7961521 35.4114290, 128.7963863 35.4113623)"
367473287,cycleway,,designated,designated,,,,"SRID=4326;LINESTRING(128.7931233 35.4124232, 128.7960083 35.4114722)"
374560177,cycleway,,,,,,,"SRID=4326;LINESTRING(129.1164729 35.1397366, 129.1155267 35.1395203, 129.1154253 35.1395081, 129.1153454 35.1395015, 129.1152498 35.1394928, 129.1151507 35.1394697, 129.1151218 35.1394497, 129.1150587 35.1394060, 129.1149738 35.1393250, 129.1149241 35.1392725, 129.1148888 35.1392352, 129.1147650 35.1391195, 129.1146694 35.1390789, 129.1145986 35.1390240, 129.1145872 35.1390130, 129.1142691 35.1387089, 129.1126056 35.1371183, 129.1118168 35.1363641, 129.1118204 35.1363063, 129.1118664 35.1362455, 129.1119478 35.1361876, 129.1120504 35.1361731, 129.1120873 35.1361781, 129.1143650 35.1364857)"
374560179,cycleway,,,,,,,"SRID=4326;LINESTRING(129.1122722 35.1350786, 129.1123018 35.1350579, 129.1126701 35.1347997, 129.1151202 35.1333405, 129.1151741 35.1333064, 129.1162488 35.1326733, 129.1165387 35.1324503, 129.1167379 35.1322191, 129.1169630 35.1318775, 129.1170140 35.1317457, 129.1171081 35.1315022, 129.1171470 35.1312348, 129.1171297 35.1308206, 129.1170476 35.1305559, 129.1169987 35.1304383)"
