공간정보일련번호,지형지물명,등록구,관리기관,명칭,구경,형식,최대유량,가설일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
183,유량계,부산진구,부산진사업소,32-1블록 유량계,200,전자식,284452.59,2018-03-19,전포1배수지,양호,,부산진구,블록
184,유량계,남구,남부사업소,제36블록 유량계,300,초음파식,0,2019-05-17,덕천가압장(시내),양호,,남구,블록
185,유량계,동래구,시설관리사업소,수영천,1500,초음파식,0,2017-06-01,덕천가압장(시내),양호,,동래구,권역
186,유량계,연제구,동래통합사업소,36블록 유량계,300,전자식,0,2018-05-14,덕천가압장(시내),양호,상수맨홀,연제구,블록
187,유량계,연제구,동래통합사업소,38블록유량계,400,전자식,287665.73,2018-05-14,거제배수지,양호,상수맨홀,연제구,블록
188,유량계,부산진구,부산진사업소,28블록 유량계,200,전자식,0,2016-11-14,문현배수지,양호,,부산진구,블록
189,유량계,수영구,남부사업소,제 2블록유량계,250,초음파식,0,2020-05-20,덕천가압장(시내),양호,,수영구,블록
190,유량계,동래구,동래통합사업소,17블록유량계,200,전자식,0,2021-06-04,명장배수지,양호,상수맨홀,동래구,블록
191,유량계,남구,남부사업소,제31블록 유량계,250,초음파식,0,2020-05-20,덕천가압장(시내),양호,,남구,블록
193,유량계,남구,남부사업소,제29블록 유량계,250,초음파식,0,2016-01-01,대연가압장,양호,,남구,블록
194,유량계,부산진구,부산진사업소,12블록 유량계,200,전자식,0,2018-03-19,거제배수지,양호,,부산진구,블록
196,유량계,금정구,동래통합사업소,제14블록 유량계,250,전자식,0,2021-06-04,덕천가압장(시내),양호,상수맨홀,금정구,블록
198,유량계,금정구,명장정수사업소,원수유입 유량계,350,초음파식,0,2009-03-02,,양호,,금정구,
200,유량계,연제구,동래통합사업소,45블록유량계,400,초음파식,0,2019-11-28,명장정수장(직송),양호,상수맨홀,연제구,블록
201,유량계,연제구,동래통합사업소,33블록유량계,400,초음파식,0,2019-11-28,사상가압장(신설),양호,상수맨홀,연제구,블록
202,유량계,동래구,동래통합사업소,21블록유량계,300,전자식,0,2020-06-04,사직부스터,양호,상수맨홀,동래구,블록
203,유량계,금정구,동래통합사업소,제5블록 유량계,300,초음파식,,2006-06-30,화명정수장,양호,상수맨홀,금정구,블록
204,유량계,부산진구,부산진사업소,23블록 구역유량계,250,초음파식,0,2018-11-22,문현배수지,양호,,부산진구,블록
205,유량계,남구,남부사업소,제24블록 유량계,250,초음파식,0,2021-07-01,전포2배수지,양호,,남구,블록
206,유량계,서구,서부사업소,11블록 유량계,250,초음파식,279302.8,2017-04-24,대티배수지,양호,,서구,블록
207,유량계,중구,중동부사업소,16블록유량계,150,전자식,0,2023-04-11,수정산터널배수지,양호,,중구,블록
209,유량계,북구,북부사업소,3블록 유량계,250,전자식,0,2020-05-20,금곡배수지,양호,상수맨홀,북구,블록
211,유량계,부산진구,부산진사업소,36블록 유량계,150,전자식,0,2021-05-04,개금1배수지,양호,,부산진구,블록
212,유량계,북구,북부사업소,13블록 유량계,300,전자식,0,2010-10-01,만덕1배수지,양호,상수맨홀,북구,블록
213,유량계,동래구,동래통합사업소,22블록유량계,500,초음파식,289036.06,2020-06-08,덕천가압장(오륜),양호,상수맨홀,동래구,블록
215,유량계,북구,북부사업소,구역 유량계,200,전자식,290608.33,2002-01-01,덕산정수장(생활직송),양호,상수맨홀,북구,기타
216,유량계,북구,북부사업소,7-3블록 유량계,100,전자식,290750.13,2019-05-02,덕산정수장(생활직송),양호,,북구,블록
217,유량계,남구,남부사업소,제47블록 유량계,400,초음파식,0,2022-04-26,덕천가압장(시내),양호,,남구,블록
218,유량계,사하구,시설관리사업소,구역유량계,300,초음파식,,1998-01-01,덕산정수장(공업직송),양호,상수맨홀,사하구,기타
219,유량계,서구,서부사업소,21블록 유량계,150,전자식,277412.31,2016-07-08,아미배수지,양호,,서구,블록
220,유량계,금정구,동래통합사업소,제21블록 유량계,250,초음파식,,2006-08-27,명장정수장(직송),양호,,금정구,블록
221,유량계,영도구,영도사업소,제15블록 유량계,200,전자식,200,2018-02-20,청학배수지,양호,상수맨홀,영도구,블록
222,유량계,남구,남부사업소,제34블록유량계,400,초음파식,420,2015-10-26,덕천가압장(시내),양호,,,블록
223,유량계,동구,중동부사업소,8블록유량계,150,전자식,720,2021-03-12,수정2배수지,양호,,동구,블록
224,유량계,북구,북부사업소,18-1블록 유량계,300,초음파식,289458.46,2006-05-27,덕천가압장(오륜),양호,상수맨홀,북구,블록
225,유량계,북구,시설관리사업소,만덕,1800,초음파식,290751.19,2022-02-22,덕천가압장(시내),양호,,북구,권역
226,유량계,북구,북부사업소,13-1블록 유량계,100,전자식,291002.43,2016-05-16,만덕1배수지,양호,상수맨홀,북구,블록
227,유량계,사하구,사하사업소,35블럭 유량계,250,초음파식,0,2020-04-28,장림배수지,양호,상수맨홀,사하구,블록
228,유량계,사상구,북부사업소,지역유량계,100,터어빈형,121,1991-01-01,덕산정수장(생활직송),양호,상수맨홀,사상구,권역
229,유량계,북구,북부사업소,17블록 유량계,150,전자식,288981.03,2014-08-01,덕천가압장(오륜),양호,상수맨홀,북구,블록
