번호,시군구명,동명,리명,도로명,교차로명,경도,위도
135,기장군,장안읍,장안리,,장안사물레방아 주차장,129.2460425,35.36972071
136,남구,문현동,,,E마트문현점동측(E마트주차장),129.0650015,35.14484261
137,기장군,장안읍,기룡리,,하근교 옆,129.2545626,35.34697275
138,기장군,장안읍,기룡리,,장안하근교 근처,129.2554263,35.34907246
139,기장군,일광면,화전리,,부산은행연수원 진입로,129.2330355,35.27597321
140,기장군,일광면,화전리,,일광초교 앞,129.2319507,35.27839990
141,기장군,일광면,화전리,,일광초교사거리,129.2322589,35.28006605
142,기장군,일광면,화전리,,아시아드CC회차로,129.2350664,35.28983057
143,기장군,일광면,청광리,,아시아드CC 울산방향출구,129.2364206,35.29326393
144,기장군,일광면,삼성리,,일광교차로 출구,129.2254649,35.25851422
145,강서구,명지동,,,순아교 옆,128.9160690,35.13490654
146,기장군,정관읍,매학리,,기장도시관리공단,129.1832063,35.32284780
147,기장군,기장읍,대라리,차성동로 8,한솔유치원,129.2161087,35.23780237
148,기장군,기장읍,대라리,차성동로 8,한솔유치원,129.2161597,35.23777968
149,강서구,봉림동,,,금룡주유소,128.9030585,35.18635497
150,기장군,기장읍,대라리,차성동로 8,한솔유치원,129.2160438,35.23781407
151,기장군,기장읍,대라리,대청로45번길 15,한솔유치원,129.2159762,35.23781709
152,기장군,기장읍,대라리,대청로45번길 15,한솔유치원,129.2158894,35.23781916
153,기장군,정관읍,예림리,,독점버스정류소 앞,129.2010446,35.32342764
154,기장군,정관읍,예림리,,케이프라인,129.2060853,35.32595144
155,기장군,정관읍,예림리,정관로 851-9,케이프라인,129.2057696,35.32602023
156,기장군,정관읍,예림리,,장안진입로,129.2148254,35.32453049
157,기장군,장안읍,반룡리,,아산이노텍,129.2640385,35.33680232
158,기장군,정관읍,예림리,,장안진입로,129.2146221,35.32464168
159,기장군,정관읍,예림리,,동면장안 연결도로,129.2163589,35.32445964
160,기장군,철마면,안평리,,기장전력소,129.1750279,35.23971653
161,기장군,철마면,안평리,,기장전력소,129.1752495,35.23967959
162,중구,중앙동4가,,,중앙동 농협,129.0354532,35.10482336
163,북구,덕천동,,,,129.0099882,35.20584701
164,북구,구포동,,시랑로 16-3,구포초등학교,129.0035343,35.20482699
165,북구,화명동,,,,129.0082915,35.22070976
166,부산진구,초읍동,,새싹로241번길 16,GS마켓,129.0480922,35.17754375
167,동구,범일동,,,범2철도 건널목(1),129.0568351,35.13711874
168,해운대구,재송동,,,반산초교,129.1295162,35.19321199
169,해운대구,재송동,,,반산초교,129.1293794,35.19325064
170,수영구,민락동,,,수영1호교,129.1252413,35.16570284
171,기장군,철마면,장전리,대곡2길 14,밤나무집 앞,129.1504817,35.26704890
172,해운대구,송정동,,,송정지하차도,129.1970259,35.17608763
173,해운대구,우동,,해운대해변로209번길 22-1,파스텔 모텔 앞,129.1540328,35.15977845
174,사상구,주례동,,,럭키목욕탕,129.0001853,35.14711483
175,해운대구,반여동,,,반석교앞,129.1402614,35.21813388
176,해운대구,재송동,,재반로 162-11,반산초교,129.1292969,35.19305731
177,부산진구,당감동,,,당감주유소 뒤,129.0332349,35.16507657
178,해운대구,중동,,,삼성콘도1,129.1665025,35.16301175
179,해운대구,재송동,,재반로 167,반산초교,129.1294378,35.19308798
180,해운대구,재송동,,,반산초교,129.1293194,35.19322396
181,기장군,철마면,장전리,개좌로 742-8,대곡마을입구,129.1506731,35.26664697
182,부산진구,당감동,,,당감삼익아파트 뒤 복개로,129.0370723,35.16385877
183,부산진구,양정동,,,양정청소년수련관,129.0723190,35.17770571
184,북구,덕천동,,,한효맨션,129.0153613,35.21378156
185,북구,금곡동,,금곡대로 432,율리마을,129.0130972,35.24756561
186,연제구,연산동,,,서원탑24시,129.0826800,35.18676415
187,영도구,남항동2가,,,,129.0359215,35.08868293
188,사하구,당리동,,낙동대로390번길 17-3,,128.9747743,35.10341384
189,사하구,당리동,,제석로18번길 60,,128.9748353,35.10307443
190,사하구,당리동,,,,128.9744696,35.10344160
191,사하구,당리동,,낙동대로 394-12,,128.9746136,35.10339741
192,동래구,명장동,,복천로 131,,129.0991141,35.20745569
193,동래구,명장동,,시실로 182,,129.0994626,35.20718440
194,동래구,명장동,,시실로 182,,129.0994342,35.20723106
195,동래구,명장동,,시실로 182,,129.0995859,35.20723406
196,동래구,명장동,,시실로205번길 11,,129.0995513,35.20727383
197,동래구,명장동,,시실로 182,,129.0998212,35.20698091
198,동래구,명장동,,,,129.1033714,35.20696259
199,동래구,명장동,,,,129.1034073,35.20701206
200,동래구,명장동,,명서로 169-1,,129.1032490,35.20713197
201,동래구,명장동,,,,129.1032805,35.20717721
202,해운대구,좌동,,,,129.1809896,35.16746973
203,해운대구,좌동,,,,129.1804527,35.16760918
