번호,시군구명,동명,리명,도로명,교차로명,위도,경도
135,사상구,주례동,,,,35.15056771,129.0035234
136,사상구,주례동,,가야대로 278-1,,35.15067628,129.0033850
137,사상구,감전동,,학감대로 231,,35.15101402,128.9897393
138,사상구,감전동,,사상로147번길 16,,35.15317523,128.9903124
139,사상구,괘법동,,백양대로646번가길 35-2,,35.16338672,128.9909384
140,사상구,괘법동,,백양대로646번가길 35-2,,35.16335955,128.9909772
141,사상구,괘법동,,백양대로646번가길 35-2,,35.16333193,128.9910097
142,사상구,괘법동,,백양대로646번가길 35-2,,35.16330645,128.9910507
143,사상구,괘법동,,백양대로646번가길 35-2,,35.16333734,128.9907643
144,사상구,괘법동,,백양대로646번가길 35-2,,35.16330877,128.9908099
145,사상구,괘법동,,백양대로646번가길 35-2,,35.16328114,128.9908447
146,사상구,괘법동,,,,35.16324274,128.9908801
147,사상구,감전동,,사상로147번길 16,,35.15675745,128.9730895
148,사상구,감전동,,사상로147번길 16,,35.15672483,128.9731204
149,사상구,감전동,,사상로147번길 16,,35.15669155,128.9731488
150,사상구,감전동,,사상로147번길 16,,35.15650822,128.9732324
151,사상구,감전동,,사상로147번길 16,,35.15657147,128.9732121
152,사상구,감전동,,사상로147번길 16,,35.15662740,128.9731910
153,사상구,감전동,,사상로147번길 16,,35.15645693,128.9737034
154,사상구,감전동,,사상로147번길 16,,35.15642739,128.9737277
155,사상구,감전동,,사상로147번길 16,,35.15639430,128.9737508
156,사상구,감전동,,사상로147번길 16,,35.15636246,128.9737766
157,사상구,괘법동,,광장로81번길 93-7,,35.16661228,128.9824798
158,사상구,괘법동,,광장로81번길 93-7,,35.16663835,128.9824671
159,사상구,괘법동,,낙동대로1210번길 91,,35.16666035,128.9824526
160,사상구,괘법동,,광장로81번길 93-7,,35.16662546,128.9825166
161,사상구,괘법동,,광장로81번길 93-7,,35.16665153,128.9825039
162,사상구,괘법동,,광장로81번길 93-7,,35.16667353,128.9824894
163,사상구,덕포동,,운산로 65,,35.16699051,128.9822551
164,사상구,덕포동,,운산로 65,,35.16696299,128.9822700
165,사상구,덕포동,,운산로 65,,35.16693870,128.9822755
166,사상구,덕포동,,운산로 65,,35.16697799,128.9822229
167,사상구,덕포동,,운산로 65,,35.16695047,128.9822378
168,사상구,덕포동,,운산로 65,,35.16692618,128.9822433
169,사상구,덕포동,,운산로 45,사상초교,35.16744064,128.9821759
170,사상구,덕포동,,운산로 45,사상초교,35.16746893,128.9821714
171,사상구,모라동,,사상로509번길 13,,35.18928403,128.9884212
172,사상구,덕포동,,운산로 45,사상초교,35.16749390,128.9821669
173,사상구,덕포동,,,사상초교,35.16743328,128.9821390
174,사상구,덕포동,,운산로 45,사상초교,35.16746157,128.9821345
175,사상구,덕포동,,운산로 45,사상초교,35.16748654,128.9821300
176,사상구,모라동,,,,35.18536534,128.9910025
177,사상구,모라동,,,,35.18533359,128.9910364
178,사상구,모라동,,,,35.18530454,128.9910714
179,사상구,모라동,,,,35.18531191,128.9943090
180,사상구,모라동,,,,35.18536691,128.9942400
181,사상구,모라동,,,,35.18533519,128.9942342
182,사상구,모라동,,,,35.18531076,128.9942676
183,사상구,감전동,,백양대로547번길 68,,35.15865383,128.9926802
184,사상구,감전동,,백양대로547번길 68,,35.15865702,128.9926329
185,사상구,감전동,,백양대로547번길 68,,35.15865018,128.9927263
186,사상구,감전동,,,,35.15674970,128.9940911
187,사상구,감전동,,,,35.15672475,128.9941124
188,사상구,감전동,,,,35.15670528,128.9941699
189,사상구,감전동,,,,35.15668032,128.9941912
190,사상구,감전동,,,,35.15666335,128.9942487
191,사상구,감전동,,,,35.15663840,128.9942700
192,사상구,학장동,,,동신목재,35.13600542,128.9742776
193,사상구,학장동,,,,35.15163982,128.9765069
194,사상구,학장동,,,감전소방PB,35.15163309,128.9765467
195,사상구,감전동,,,,35.15522376,128.9955513
196,사상구,감전동,,,,35.15525202,128.9955278
197,사상구,주례동,,,,35.15518929,128.9956231
198,사상구,주례동,,,,35.15521755,128.9955996
199,사상구,주례동,,사상로38번길 40,,35.15450237,128.9962448
200,사상구,주례동,,사상로38번길 40,,35.15448473,128.9962801
201,사상구,주례동,,사상로38번길 40,신화빌라,35.15438160,128.9966878
202,사상구,주례동,,사상로38번길 40,신화빌라,35.15436585,128.9966439
203,북구,구포동,,,삼진섬유,35.19401752,128.9902162
204,사상구,모라동,,사상로477번길 6,모라초등학교,35.18802247,128.9878685
205,사상구,모라동,,사상로477번길 6,모라초등학교,35.18805884,128.9878876
206,사상구,모라동,,모라로51번길 4,,35.18897292,128.9882720
207,사상구,모라동,,모라로51번길 4,모라초등학교,35.18895118,128.9882604
208,사상구,모라동,,모라로51번길 6,,35.18903599,128.9882241
209,사상구,모라동,,모라로51번길 4,,35.18898283,128.9882394
210,사상구,모라동,,모라로51번길 4,모라초등학교,35.18895689,128.9882264
211,사상구,모라동,,모라로51번길 4,모라초등학교,35.18895575,128.9881878
212,사상구,모라동,,사상로509번길 13,,35.18931702,128.9884372
213,사상구,모라동,,,,35.18939790,128.9884390
214,사상구,모라동,,,,35.18936228,128.9884194
215,사상구,모라동,,,,35.18784241,128.9878282
216,사상구,모라동,,,,35.18787754,128.9878364
217,사상구,모라동,,,,35.18791477,128.9878532
218,사상구,모라동,,사상로433번길 8,,35.18363214,128.9864059
219,사상구,모라동,,사상로433번길 8,,35.18399938,128.9864570
220,사상구,모라동,,사상로455번길 12,모라주유소,35.18511127,128.9867664
221,사상구,모라동,,사상로455번길 12,모라주유소,35.18552875,128.9868308
222,사상구,모라동,,모덕로 89,모라변전소,35.18068714,128.9856651
223,사상구,모라동,,모덕로 89,모라변전소,35.18071113,128.9856695
224,사상구,모라동,,사상로426번길 10,,35.18159553,128.9858380
225,사상구,모라동,,사상로426번길 10,,35.18156729,128.9858280
226,사상구,모라동,,사상로426번길 10,모라변전소,35.18154257,128.9858231
227,사상구,덕포동,,모덕로96번길 64,,35.17771124,128.9849268
228,사상구,덕포동,,모덕로96번길 64,,35.17780902,128.9850251
229,사상구,덕포동,,모덕로96번길 64,,35.17787108,128.9850054
230,사상구,덕포동,,모덕로96번길 64,,35.17793531,128.9849823
231,사상구,덕포동,,모덕로96번길 64,,35.17799215,128.9849633
232,사상구,덕포동,,삼덕로74번길 14,,35.17368352,128.9839395
233,사상구,덕포동,,삼덕로74번길 14,,35.17370873,128.9839523
234,사상구,덕포동,,삼덕로74번길 14,,35.17367383,128.9839778
235,사상구,덕포동,,삼덕로74번길 14,,35.17370162,128.9839836
236,사상구,덕포동,,삼덕로74번길 14,,35.17327702,128.9837809
237,사상구,덕포동,,삼덕로74번길 14,,35.17330994,128.9837940
238,사상구,덕포동,,삼덕로74번길 14,,35.17327165,128.9838120
