id,sigun_gu,lat,lon,geom,facility_type
110,동래구,129.0780005,35.20476656,,7
111,동래구,129.0780217,35.20498948,,7
112,동래구,129.0967157,35.19888472,,7
113,동래구,129.0963445,35.19855091,,7
114,동래구,129.1092995,35.19499608,,7
115,동래구,129.1090646,35.19508474,,7
116,강서구,128.9351379,35.21877854,,7
117,기장군,129.2567643,35.3483181,,7
118,기장군,129.256389,35.34838048,,7
119,기장군,129.2500541,35.34105297,,7
120,기장군,129.261049,35.34029436,,7
121,기장군,129.2591943,35.34107072,,7
122,기장군,129.2404871,35.31815051,,7
123,기장군,129.2399309,35.3183245,,7
124,기장군,129.240141,35.31872541,,7
125,부산진구,129.0623888,35.14922164,,7
126,강서구,128.9322042,35.21987266,,7
127,강서구,128.9348099,35.21888538,,7
128,강서구,128.9344686,35.21902113,,7
129,강서구,128.9332688,35.21943683,,7
130,강서구,128.9330715,35.21952046,,7
131,북구,129.0021773,35.20949293,,7
132,북구,129.0016637,35.20947711,,7
133,북구,128.9984047,35.20112969,,7
134,사상구,128.9884689,35.17629792,,7
135,사상구,128.9884256,35.17277652,,7
136,사상구,128.9873729,35.17305128,,7
137,강서구,128.9745163,35.20512341,,7
138,부산진구,129.0663755,35.17474898,,7
139,부산진구,129.0651165,35.1747917,,7
140,부산진구,129.0591447,35.17170103,,7
141,부산진구,129.0603742,35.17306482,,7
142,부산진구,129.0599089,35.14756881,,7
143,해운대구,129.1390807,35.16873295,,7
144,부산진구,129.0527037,35.15757246,,7
145,사상구,129.0007457,35.18614609,,7
146,사상구,128.9909904,35.18597296,,7
147,사하구,128.9546332,35.07538198,,7
148,사하구,128.9645225,35.12108819,,7
149,사상구,128.9672579,35.15325927,,7
150,강서구,128.9547189,35.15540421,,7
151,강서구,128.9026675,35.18572768,,7
152,강서구,128.8966238,35.17603035,,7
153,강서구,128.8869023,35.09608541,,7
154,강서구,128.8286236,35.05769822,,7
155,강서구,128.8289345,35.0576741,,7
156,강서구,128.8287771,35.05759197,,7
157,해운대구,129.1370896,35.16537419,,7
158,해운대구,129.1357665,35.16499653,,7
159,해운대구,129.135217,35.16469053,,7
160,해운대구,129.1352201,35.16464466,,7
161,해운대구,129.1366245,35.16519455,,7
162,해운대구,129.1365627,35.16521567,,7
163,해운대구,129.1392182,35.16919423,,7
164,해운대구,129.1391605,35.16825253,,7
165,해운대구,129.1389817,35.16792993,,7
166,부산진구,129.0320198,35.16461029,,7
167,해운대구,129.1470792,35.17289671,,7
168,해운대구,129.1467086,35.17276139,,7
169,해운대구,129.1467027,35.17293893,,7
170,해운대구,129.1361061,35.16494355,,7
171,해운대구,129.1348723,35.15997286,,7
172,해운대구,129.1347058,35.16439554,,7
173,해운대구,129.1346857,35.16443974,,7
174,해운대구,129.1346458,35.16447254,,7
175,남구,129.1183274,35.13675775,,7
176,북구,129.0029155,35.19748146,,7
177,북구,129.0049568,35.1987895,,7
178,북구,129.0025493,35.19743521,,7
179,북구,129.0056734,35.19866403,,7
180,북구,129.0019271,35.19727829,,7
181,북구,128.9976395,35.20149186,,7
182,북구,128.9976039,35.20138417,,7
183,수영구,129.1126187,35.13607346,,7
184,남구,129.1117391,35.13622288,,7
185,남구,129.111654,35.1355963,,7
