구분,노선명,시점,종점,폭(m),길이(m)
로,용소로,부산광역시 남구 대연동 55-19 일원,부산광역시 남구 대연동 598-7 일원,26,1092
로,용주로,부산광역시 남구 용호동 542-1 일원,부산광역시 남구 용호동 524 일원,10,434
로,용호로,부산광역시 남구 대연동 598-7 일원,부산광역시 남구 용호동 산89-8 일원,20,2797
로,우암로,부산광역시 남구 감만동 498-130 일원,부산광역시 남구 우암동 1116-15 일원,25,3933
로,우암번영로,부산광역시 남구 우암동 184-312 일원,부산광역시 남구 우암동 189-2041 일원,8,289
로,우암양달로,부산광역시 남구 우암동 181-55 일원,부산광역시 남구 우암동 133-21 일원,8,526
로,유엔로,부산광역시 남구 우암동 61-45 일원,부산광역시 남구 대연동 599-6 일원,20,2523
로,유엔평화로,부산광역시 남구 대연동 1740-11 일원,부산광역시 남구 용당동 480-3 일원,26,1749
로,이기대공원로,부산광역시 남구 용호동 84-4 일원,부산광역시 남구 용호동 산167-2 일원,14,4587
로,자성로,부산광역시 동구 좌천동 127 일원,부산광역시 남구 문현동 807-7 일원,43,1589
로,자유평화로,부산광역시 동구 범일동 830-24 일원,부산광역시 남구 문현동 776-23 일원,18,575
로,장고개로,부산광역시 남구 문현동 867 일원,부산광역시 남구 우암동 184-351 일원,12,1191
로,전선등로,부산광역시 남구 감만동 43-32 일원,부산광역시 남구 감만동 36 일원,8,393
로,조각공원로,부산광역시 남구 대연동 670-4 일원,부산광역시 남구 대연동 580-8 일원,24,533
로,지게골로,부산광역시 남구 문현동 846-1 일원,부산광역시 남구 문현동 322-4 일원,7,1129
로,진남로,부산광역시 남구 대연동 1741-19 일원,부산광역시 연제구 연산동 844-67 일원,15,626
로,천제등로,부산광역시 남구 대연동 1764-1 일원,부산광역시 남구 대연동 892-10 일원,14,682
로,홍곡로,부산광역시 남구 감만동 183-3 일원,부산광역시 남구 대연동 1160-33 일원,9,1908
로,황령산로,부산광역시 수영구 남천동 52-2 일원,부산광역시 연제구 연산동 841-2 일원,12,6090
길,고동골로111번길,부산광역시 남구 문현동 14-7 일원,부산광역시 남구 문현동 13-32 일원,9,200
길,고동골로125번길,부산광역시 남구 문현동 51-15 일원,부산광역시 남구 문현동 15-17 일원,2,156
길,고동골로18번길,부산광역시 남구 문현동 205-55 일원,부산광역시 남구 문현동 189-38 일원,6,284
