연번,참고지도,위도,경도,관리번호,수량,구_군,행정(읍_면_동),도로명_주소,설치장소명,구(지번)주소
53,다음지도,35.11113125,129.0360723,부산-3-중구-0038-01,1,중구,영주1동,대영로226번안길 2,봉래초등학교 정문,영주동 653
54,다음지도,35.11113125,129.0360723,부산-3-중구-0038-02,1,중구,영주1동,대영로226번안길 2,봉래초등학교 정문,영주동 653
55,다음지도,35.11113125,129.0360723,부산-3-중구-0038-03,1,중구,영주1동,대영로226번안길 2,봉래초등학교 정문,영주동 653
56,다음지도,35.11486933,129.0344352,부산-3-중구-0039,1,중구,영주1동,배수지길 48,초원아파트 아래,초량동 1064-94(맞은편)
57,다음지도,35.10783294,129.029627,부산-3-중구-0040,1,중구,대청동,망양로335번길 5,금수현의 음악살롱 주변,대청동4가 1-84
58,다음지도,35.11182723,129.0313848,부산-3-중구-0041,1,중구,영주2동,영주로12번길 27,모리아빌라 옆(시온중앙교회 인근),영주동 279-1
59,다음지도,35.10847341,129.0325463,부산-3-중구-0042,1,중구,동광동,동영로7번길 12 윗길,부산디지털고등학교 후문 아래,동광동5가 15-52
60,다음지도,35.10373141,129.0226908,부산-4-중구-0043-0,4,중구,보수동,흑교로45번길 24,우촌곰탕 앞 전봇대(길벗슈퍼 오거리) 4대,보수동3가 55-1
61,다음지도,35.10373141,129.0226908,부산-4-중구-0043-1,,중구,보수동,흑교로45번길 24,우촌곰탕 앞 전봇대(길벗슈퍼 오거리) 4대,보수동3가 55-1
62,다음지도,35.10373141,129.0226908,부산-4-중구-0043-2,,중구,보수동,흑교로45번길 24,우촌곰탕 앞 전봇대(길벗슈퍼 오거리) 4대,보수동3가 55-1
63,다음지도,35.10373141,129.0226908,부산-4-중구-0043-3,,중구,보수동,흑교로45번길 24,우촌곰탕 앞 전봇대(길벗슈퍼 오거리) 4대,보수동3가 55-1
64,다음지도,35.11058542,129.0319489,부산-4-중구-0044,1,중구,영주2동,동영로61,영주공영주차장 앞,영주동 285-11
65,다음지도,35.10123489,129.0361606,부산-4-중구-0045,1,중구,중앙동,중앙대로41번길 3,쭈꾸미골목 입구,중앙동1가 21-1
66,다음지도,35.11130654,129.0343549,부산-4-중구-0046,1,중구,영주1동,중구로185번길 4,보혜드림빌 앞,영주동 517-6
67,다음지도,35.10067285,129.0311217,부산-4-중구-0047-0,4,중구,광복동,광복중앙로 16,부산은행 신창지점(4대),광복동3가 4-1
68,다음지도,35.10067285,129.0311217,부산-4-중구-0047-1,,중구,광복동,광복중앙로 16,부산은행 신창지점(4대),광복동3가 4-1
69,다음지도,35.10067285,129.0311217,부산-4-중구-0047-2,,중구,광복동,광복중앙로 16,부산은행 신창지점(4대),광복동3가 4-1
