번호,시군구명,동명,도로명,교차로명,경도,위도
166,수영구,민락동,,대우푸르지오아파트주변,129.1305596,35.15919645
167,수영구,민락동,,대우푸르지오아파트주변,129.1306625,35.15898365
168,수영구,민락동,,대우푸르지오아파트주변,129.1307163,35.15900894
169,기장군,장안읍,,장안~임랑간 1-1지점,129.2421333,35.31737175
170,부산진구,양정동,,양정성당,129.0727616,35.17136964
171,부산진구,부암동,부전로 121-9,부전부용온천,129.0555435,35.16115738
172,부산진구,부암동,부전로 121-9,부전부용온천,129.0554871,35.16117974
173,부산진구,양정동,중앙대로969번길 23,양정청소년수련관(2),129.0716485,35.17688002
174,부산진구,양정동,중앙대로969번길 23,양정청소년수련관(2),129.0716643,35.17684199
175,부산진구,양정동,,양정청소년수련관(3),129.0713605,35.17706122
176,부산진구,양정동,,양정청소년수련관(3),129.0713112,35.17705006
177,부산진구,양정동,,양정초교,129.0701622,35.17478298
178,부산진구,양정동,,양정초교,129.0701168,35.17476481
179,부산진구,연지동,연지로43번길 3,연지초교,129.0533006,35.17185073
180,서구,남부민동,해돋이로99번길 10-27,,129.021807,35.08753103
181,부산진구,연지동,,연지자이아파트104동,129.0487639,35.17062777
182,부산진구,연지동,,연지자이아파트203동,129.047187,35.17349048
183,부산진구,연지동,,연지자이아파트203동,129.0471376,35.17352967
184,부산진구,초읍동,새싹로210번길 5,성지선경아파트,129.0487173,35.1756153
185,부산진구,초읍동,성지곡로 8,부산진구 교육문화회관,129.0475714,35.18371144
186,부산진구,초읍동,새싹로 295,어린이대공원 앞 회전교차로,129.0469817,35.18172598
187,부산진구,초읍동,새싹로 295,대성빌라,129.0473582,35.1832819
188,동구,수정동,구봉북길 3-1,아르미나APT 101동 뒤,129.0353064,35.12572559
189,동구,수정동,망양로 627-3,아르미나APT 101동 뒤,129.0355074,35.12564252
190,부산진구,부전동,,서면 한전,129.0597634,35.15340278
191,부산진구,부전동,,서면 한전,129.0599032,35.15338502
192,부산진구,범천동,자유평화로37번길 51,문현이마트 옆,129.0628534,35.14413936
193,부산진구,가야동,,가야1동 삼환 사랑채아파트,129.0408758,35.15494533
194,부산진구,가야동,,가야1동 삼환 사랑채아파트,129.040766,35.15490153
195,부산진구,부암동,,성지제일교회,129.0382167,35.16992531
196,부산진구,부암동,백양순환로95번길 49,부암삼성아파트 늘푸른교회,129.0359985,35.1701548
197,부산진구,부암동,백양순환로95번길 49,부암삼성아파트 늘푸른교회,129.0360806,35.17005693
198,부산진구,부암동,,당감4동주민센터,129.0366426,35.16807203
199,부산진구,부암동,,당감4동주민센터,129.0366466,35.16808989
200,부산진구,부암동,,당감4동주민센터,129.036838,35.16803645
201,부산진구,부암동,,당감4동주민센터,129.0368657,35.16806395
202,부산진구,가야동,,가야1치안센터,129.0374275,35.15446128
203,부산진구,범전동,부전로 197-1,부전역지하차도,129.0620273,35.16500912
204,부산진구,전포동,전포대로275번길 7,전포롯데캐슬(2),129.0642309,35.16154555
205,부산진구,전포동,,서면밀리오레주차장 입구(2),129.0638186,35.15725153
206,부산진구,부암동,,서면쌍용스윗닷홈파크(1),129.0515759,35.16122019
207,부산진구,연지동,,연지자이아파트105동,129.0485782,35.16871115
208,동구,좌천동,중앙대로 399,봉생병원 앞,129.0501079,35.13118949
209,동구,수정동,망양로685번길 65,수정도시APT 앞,129.0364205,35.12597259
210,동구,수정동,,아르미나APT지하주차장,129.0364382,35.12556798
211,동구,수정동,,수정5동사무소앞,129.0430373,35.13413401
212,동구,수정동,,수정아파트 우편취급소 앞,129.0419972,35.1275293
213,동구,수정동,,수정 슈퍼마켓 앞,129.0404136,35.13164572
214,동구,수정동,,동구신청사,129.0446208,35.12942967
215,동구,수정동,고관로 104,수정동 성가의원,129.0454249,35.12770957
216,동구,수정동,고관로 104,수정동 성가의원,129.0454428,35.1276746
217,부산진구,개금동,,개금주공사거리,129.0315886,35.15915792
