번호,시군구명,동명,리명,도로명,교차로명,경도,위도
152,사상구,학장동,,새벽로 2,,128.9808668,35.14163820
153,사상구,학장동,,새벽로 2,,128.9808319,35.14159936
154,사상구,학장동,,새벽로 2,,128.9807835,35.14155902
155,사상구,학장동,,새벽로 2,,128.9807353,35.14151859
156,사상구,삼락동,,낙동대로1540번길 3,옥림탕,128.9855667,35.19509110
157,사상구,삼락동,,낙동대로 1542,,128.9854220,35.19510147
158,사상구,삼락동,,낙동대로 1542,,128.9853927,35.19504427
159,사상구,삼락동,,낙동대로 1542,,128.9853626,35.19497484
160,사상구,삼락동,,,,128.9831500,35.19427986
161,사상구,삼락동,,낙동대로 1536,,128.9846944,35.19531861
162,사상구,삼락동,,낙동대로 1536,,128.9846802,35.19527042
163,사상구,삼락동,,,,128.9846625,35.19522137
164,사상구,삼락동,,,,128.9846519,35.19516768
165,사상구,삼락동,,낙동대로 1538,,128.9849281,35.19459996
166,사상구,모라동,,,,128.9908284,35.18673765
167,사상구,모라동,,,,128.9908067,35.18661916
168,사상구,모라동,,,신모라사거리,128.9907702,35.18645219
169,사상구,모라동,,,신모라사거리,128.9908130,35.18644207
170,사상구,모라동,,,신모라사거리,128.9908470,35.18644109
171,사상구,모라동,,,신모라사거리,128.9910030,35.18599391
172,사상구,모라동,,,신모라사거리,128.9910364,35.18599901
173,사상구,모라동,,,신모라사거리,128.9910742,35.18600687
174,사상구,모라동,,,신모라사거리,128.9911262,35.18579920
175,사상구,모라동,,,,128.9910620,35.18578281
176,사상구,모라동,,,,128.9910921,35.18578917
177,사상구,모라동,,,,128.9910932,35.18566826
178,사상구,덕포동,,삼덕로 83,덕포초교,128.9858469,35.17343324
179,사상구,덕포동,,삼덕로 83,덕포초교,128.9858585,35.17345723
180,사상구,덕포동,,삼덕로 15,,128.9791169,35.17422423
181,사상구,덕포동,,삼덕로 21,사상경찰서,128.9796026,35.17427667
182,사상구,덕포동,,삼덕로 21,사상경찰서,128.9796731,35.17417676
183,사상구,덕포동,,삼덕로 21,사상경찰서,128.9796723,35.17420657
184,사상구,덕포동,,삼덕로 21,사상경찰서,128.9796045,35.17424931
185,사상구,덕포동,,삼덕로 21,,128.9800041,35.17422131
186,사상구,덕포동,,삼덕로 21,,128.9800069,35.17424713
187,사상구,덕포동,,삼덕로 21,,128.9801175,35.17421597
188,사상구,삼락동,,광장로38번길 9,,128.9760089,35.16393598
189,사상구,삼락동,,,서부터미널,128.9758006,35.16345170
190,사상구,삼락동,,,서부터미널,128.9758350,35.16344605
191,사상구,삼락동,,광장로38번길 9,서부터미널,128.9758670,35.16344307
192,사상구,삼락동,,광장로38번길 9,서부터미널,128.9759047,35.16347033
193,사상구,삼락동,,,서부터미널,128.9756353,35.16317478
194,사상구,삼락동,,광장로38번길 9,서부터미널,128.9759355,35.16307043
195,사상구,삼락동,,광장로38번길 9,서부터미널,128.9758410,35.16308375
196,사상구,삼락동,,광장로38번길 9,서부터미널,128.9758697,35.16307637
197,사상구,삼락동,,광장로38번길 9,서부터미널,128.9758995,35.16306879
198,사상구,삼락동,,,,128.9755745,35.16293379
199,사상구,삼락동,,,,128.9755210,35.16271021
200,사상구,삼락동,,,,128.9754700,35.16247608
201,사상구,삼락동,,,,128.9754517,35.16241193
202,사하구,하단동,,,,128.9582671,35.11250753
203,사상구,삼락동,,,,128.9747105,35.16210508
204,사상구,감전동,,새벽로177번길 15,,128.9832772,35.15619674
205,사상구,감전동,,새벽로177번길 15,,128.9833129,35.15618650
206,사상구,괘법동,,광장로38번길 9,감전교회,128.9836928,35.15745901
207,사상구,괘법동,,괘감로 74,감전교회,128.9836623,35.15746365
208,사상구,감전동,,,,128.9915375,35.15532911
209,사상구,괘법동,,광장로38번길 9,감전교회,128.9837052,35.15802317
210,사상구,괘법동,,광장로38번길 9,감전교회,128.9837382,35.15801764
211,사상구,엄궁동,,낙동대로 765,,128.9711010,35.13010250
212,사상구,엄궁동,,낙동대로 765,,128.9711283,35.13008448
